ARIA 64-PIN TOKEN SPECIFICATION
================================================================================
Total pins: 64
Active pins: 58
Sleeping pins: 6
================================================================================
PIN 01 | A_AM_FREQUENCY               |  16 bits | CORE_IDENTITY        | ACTIVE   | Worker: ALL_WORKERS
PIN 02 | T_RGB_COLOR                  |  24 bits | CORE_IDENTITY        | ACTIVE   | Worker: ALL_WORKERS
PIN 03 | C_HUE                        |   9 bits | CORE_IDENTITY        | ACTIVE   | Worker: EMOTION_MEMORY
PIN 04 | G_FM_FREQUENCY               |  16 bits | CORE_IDENTITY        | ACTIVE   | Worker: LOGIC_LANGUAGE
PIN 05 | L1_LEFT_NEIGHBOR             |  12 bits | HORIZONTAL_LATTICE   | ACTIVE   | Worker: MEMORY_WORKER
PIN 06 | L2_RIGHT_NEIGHBOR            |  12 bits | HORIZONTAL_LATTICE   | ACTIVE   | Worker: MEMORY_WORKER
PIN 07 | UL1_UPPER_PLANE              |  12 bits | VERTICAL_LATTICE     | ACTIVE   | Worker: SUBCONSCIOUS_EMOTION
PIN 08 | UL2_LOWER_PLANE              |  12 bits | VERTICAL_LATTICE     | ACTIVE   | Worker: MEMORY_WORKER
PIN 09 | LU1_DIAGONAL_UP              |  12 bits | DIAGONAL_LATTICE     | ACTIVE   | Worker: MEMORY_SUBCONSCIOUS
PIN 10 | LU2_DIAGONAL_DOWN            |  12 bits | DIAGONAL_LATTICE     | ACTIVE   | Worker: MEMORY_SUBCONSCIOUS
PIN 11 | LANGUAGE_CHANNEL             |  12 bits | WORKER_CHANNELS      | ACTIVE   | Worker: LANGUAGE_WORKER
PIN 12 | MEMORY_CHANNEL               |  12 bits | WORKER_CHANNELS      | ACTIVE   | Worker: MEMORY_WORKER
PIN 13 | EMOTION_CHANNEL              |  12 bits | WORKER_CHANNELS      | ACTIVE   | Worker: EMOTION_WORKER
PIN 14 | ETHICS_CHANNEL               |  12 bits | WORKER_CHANNELS      | ACTIVE   | Worker: ETHICS_WORKER
PIN 15 | CURIOSITY_CHANNEL            |  12 bits | WORKER_CHANNELS      | ACTIVE   | Worker: CURIOSITY_WORKER
PIN 16 | LOGIC_CHANNEL                |  12 bits | WORKER_CHANNELS      | ACTIVE   | Worker: LOGIC_WORKER
PIN 17 | SUBCONSCIOUS_CHANNEL         |  12 bits | WORKER_CHANNELS      | ACTIVE   | Worker: SUBCONSCIOUS_WORKER
PIN 18 | DIRECTORY_ADDRESS            |  12 bits | DIRECTORY_SYSTEM     | ACTIVE   | Worker: ALL_WORKERS
PIN 19 | DIRECTORY_PLANE              |  12 bits | DIRECTORY_SYSTEM     | ACTIVE   | Worker: ALL_WORKERS
PIN 20 | DIRECTORY_DEPTH              |  12 bits | DIRECTORY_SYSTEM     | ACTIVE   | Worker: ALL_WORKERS
PIN 21 | PARENT_DIRECTORY             |  12 bits | DIRECTORY_SYSTEM     | ACTIVE   | Worker: MEMORY_LOGIC
PIN 22 | CHILD_DIRECTORY              |  12 bits | DIRECTORY_SYSTEM     | ACTIVE   | Worker: MEMORY_LOGIC
PIN 23 | SIBLING_DIRECTORY            |  12 bits | DIRECTORY_SYSTEM     | ACTIVE   | Worker: MEMORY_LOGIC
PIN 24 | ROOT_REFERENCE               |  12 bits | DIRECTORY_SYSTEM     | ACTIVE   | Worker: KINGS_CHAMBER
